Pedestrians,weather_summary,temperature,precipitation,events,hour_begin,has_event
1885,partly-cloudy-day,73.0,0.0,"",2019-09-09T18:00:00.000-04:00,0
255,rain,33.0,0.006,"",2019-12-17T14:00:00.000-05:00,0
0,rain,53.0,0.0805,"",2019-04-08T03:00:00.000-04:00,0
0,clear-night,74.0,0.0,"",2019-07-15T02:00:00.000-04:00,0
19,partly-cloudy-night,67.0,0.0,"",2019-08-27T21:00:00.000-04:00,0
5,cloudy,45.0,0.0,"",2019-12-26T22:00:00.000-05:00,0
55,clear-night,59.0,0.0,"",2019-09-18T23:00:00.000-04:00,0
1,partly-cloudy-night,22.0,0.0,"",2019-12-20T02:00:00.000-05:00,0
0,clear-day,19.0,0.0,"",2019-02-02T09:00:00.000-05:00,0
1842,cloudy,65.0,0.0,"",2019-05-29T14:00:00.000-04:00,0
0,cloudy,51.0,0.0034,"",2019-01-24T03:00:00.000-05:00,0
1590,partly-cloudy-day,88.0,0.0,"",2019-07-29T12:00:00.000-04:00,0
1900,partly-cloudy-day,77.0,0.0,"",2019-10-01T14:00:00.000-04:00,0
13,clear-night,80.0,0.0,"",2019-07-17T00:00:00.000-04:00,0
786,partly-cloudy-day,56.0,0.0,"",2019-10-17T18:00:00.000-04:00,0
798,rain,70.0,0.0158,Halloween,2019-10-31T13:00:00.000-04:00,1
124,clear-night,27.0,0.0,"",2019-01-28T18:00:00.000-05:00,0
9,rain,71.0,0.014,"",2019-07-23T05:00:00.000-04:00,0
6,partly-cloudy-night,42.0,0.0,New Year's Eve,2019-12-31T18:00:00.000-05:00,1
1563,clear-day,44.0,0.0,St. Patrick's Day,2019-03-17T18:00:00.000-04:00,1
0,clear-night,47.0,0.0,"",2019-11-05T03:00:00.000-05:00,0
2587,partly-cloudy-day,76.0,0.0,"",2019-09-08T14:00:00.000-04:00,0
15,cloudy,38.0,0.0,"",2019-02-23T23:00:00.000-05:00,0
8,clear-night,65.0,0.0,"",2019-09-29T23:00:00.000-04:00,0
2341,clear-day,42.0,0.0,"",2019-03-23T12:00:00.000-04:00,0
1570,partly-cloudy-day,87.0,0.0,"",2019-08-21T14:00:00.000-04:00,0
29,partly-cloudy-night,35.0,0.0,"",2019-03-23T06:00:00.000-04:00,0
28,clear-night,74.0,0.0,"",2019-07-28T00:00:00.000-04:00,0
1990,partly-cloudy-day,80.0,0.0,"",2019-08-02T19:00:00.000-04:00,0
1456,clear-day,88.0,0.0,"",2019-09-23T14:00:00.000-04:00,0
2111,clear-day,45.0,0.0,"",2019-01-04T16:00:00.000-05:00,0
1321,partly-cloudy-day,34.0,4.0E-4,"",2019-12-03T12:00:00.000-05:00,0
116,clear-night,38.0,0.0,"",2019-11-26T06:00:00.000-05:00,0
819,partly-cloudy-day,25.0,0.0,"",2019-03-06T13:00:00.000-05:00,0
14,rain,41.0,0.0198,"",2019-04-06T00:00:00.000-04:00,0
1787,clear-day,58.0,0.0,Veterans Day,2019-11-11T12:00:00.000-05:00,1
128,partly-cloudy-night,25.0,0.0,"",2019-03-06T18:00:00.000-05:00,0
543,partly-cloudy-day,71.0,0.0,"",2019-07-24T08:00:00.000-04:00,0
2566,clear-day,41.0,0.0,"",2019-12-08T15:00:00.000-05:00,0
46,clear-night,36.0,0.0,"",2019-02-16T06:00:00.000-05:00,0
0,cloudy,44.0,0.0,"",2019-05-13T04:00:00.000-04:00,0
35,partly-cloudy-night,35.0,0.0,"",2019-03-12T06:00:00.000-04:00,0
2,partly-cloudy-night,12.0,0.0,Martin Luther King Jr. Day,2019-01-21T01:00:00.000-05:00,1
2720,clear-day,82.0,0.0,"",2019-06-23T14:00:00.000-04:00,0
897,clear-day,35.0,0.0,"",2019-01-15T16:00:00.000-05:00,0
2192,cloudy,64.0,0.0,"",2019-10-11T16:00:00.000-04:00,0
1576,clear-day,58.0,0.0,"",2019-04-04T18:00:00.000-04:00,0
1220,cloudy,48.0,0.0,"",2019-04-09T11:00:00.000-04:00,0
186,clear-night,33.0,0.0,"",2019-03-19T07:00:00.000-04:00,0
499,clear-day,63.0,0.0,"",2019-06-03T08:00:00.000-04:00,0
17,clear-night,30.0,0.0,"",2019-02-20T00:00:00.000-05:00,0
571,partly-cloudy-night,72.0,0.0,"",2019-08-15T20:00:00.000-04:00,0
1598,clear-day,49.0,0.0,"",2019-03-28T13:00:00.000-04:00,0
1057,cloudy,72.0,0.0,"",2019-06-18T11:00:00.000-04:00,0
158,clear-day,64.0,0.0,"",2019-05-28T06:00:00.000-04:00,0
56,partly-cloudy-night,62.0,0.0,"",2019-09-13T22:00:00.000-04:00,0
1832,clear-day,80.0,0.0,"",2019-07-25T11:00:00.000-04:00,0
949,clear-day,33.0,0.0,"",2019-11-13T16:00:00.000-05:00,0
185,partly-cloudy-night,68.0,0.0,"",2019-08-16T06:00:00.000-04:00,0
521,cloudy,70.0,0.0,"",2019-09-10T09:00:00.000-04:00,0
22,clear-night,50.0,0.0,"",2019-03-14T22:00:00.000-04:00,0
223,rain,48.0,0.0551,"",2019-05-13T17:00:00.000-04:00,0
17,cloudy,31.0,0.0,"",2019-01-18T00:00:00.000-05:00,0
1035,partly-cloudy-day,34.0,0.0,"",2019-02-10T17:00:00.000-05:00,0
2328,clear-day,40.0,0.0,"",2019-11-30T12:00:00.000-05:00,0
3,partly-cloudy-night,34.0,0.0,"",2019-01-08T02:00:00.000-05:00,0
1657,clear-day,78.0,0.0,"",2019-09-03T18:00:00.000-04:00,0
35,partly-cloudy-night,70.0,0.0,"",2019-09-08T22:00:00.000-04:00,0
639,clear-day,65.0,0.0,"",2019-06-03T09:00:00.000-04:00,0
1225,clear-day,83.0,0.0,"",2019-10-02T11:00:00.000-04:00,0
449,clear-day,51.0,0.0,"",2019-10-21T08:00:00.000-04:00,0
33,cloudy,59.0,0.0,"",2019-10-10T23:00:00.000-04:00,0
172,rain,33.0,0.0117,"",2019-12-17T16:00:00.000-05:00,0
788,cloudy,30.0,0.0,"",2019-02-20T11:00:00.000-05:00,0
66,rain,68.0,0.002,Father's Day,2019-06-16T06:00:00.000-04:00,1
2286,partly-cloudy-day,52.0,0.0,"",2019-11-25T15:00:00.000-05:00,0
1900,cloudy,75.0,0.0,"",2019-09-10T15:00:00.000-04:00,0
1020,clear-day,82.0,0.0,"",2019-07-16T10:00:00.000-04:00,0
142,clear-night,27.0,0.0,"",2019-01-22T19:00:00.000-05:00,0
61,cloudy,68.0,0.0,"",2019-06-18T05:00:00.000-04:00,0
2015,clear-day,51.0,0.0,"",2019-11-25T13:00:00.000-05:00,0
24,rain,35.0,0.0255,Presidents' Day (regional holiday),2019-02-18T06:00:00.000-05:00,1
0,clear-night,47.0,0.0,"",2019-04-07T05:00:00.000-04:00,0
1702,partly-cloudy-day,54.0,0.0,Tax Day,2019-04-15T16:00:00.000-04:00,1
16,partly-cloudy-night,33.0,0.0,"",2019-01-25T06:00:00.000-05:00,0
25,cloudy,56.0,0.0,Cinco de Mayo,2019-05-05T00:00:00.000-04:00,1
60,partly-cloudy-night,20.0,0.0,"",2019-02-01T18:00:00.000-05:00,0
447,clear-day,74.0,0.0,"",2019-07-02T08:00:00.000-04:00,0
0,clear-night,73.0,0.0,"",2019-10-02T00:00:00.000-04:00,0
1588,partly-cloudy-day,39.0,0.0,"",2019-11-08T12:00:00.000-05:00,0
3,partly-cloudy-night,56.0,0.0,"",2019-05-09T00:00:00.000-04:00,0
397,clear-day,40.0,0.0,"",2019-11-26T08:00:00.000-05:00,0
0,clear-night,21.0,0.0,"",2019-12-19T01:00:00.000-05:00,0
0,rain,45.0,0.0478,"",2019-03-22T04:00:00.000-04:00,0
2,partly-cloudy-night,34.0,0.0,"",2019-02-11T21:00:00.000-05:00,0
0,cloudy,43.0,0.0,"",2019-04-03T02:00:00.000-04:00,0
818,clear-day,30.0,0.0,"",2019-11-13T11:00:00.000-05:00,0
1215,cloudy,40.0,3.0E-4,"",2019-12-05T16:00:00.000-05:00,0
0,cloudy,50.0,0.0,"",2019-03-30T05:00:00.000-04:00,0
5,cloudy,56.0,0.0,Thanksgiving Day,2019-11-27T19:00:00.000-05:00,1
927,partly-cloudy-day,72.0,0.0,"",2019-09-15T09:00:00.000-04:00,0
2386,cloudy,53.0,0.0,"",2019-05-03T12:00:00.000-04:00,0
1712,cloudy,57.0,0.0,"",2019-11-27T14:00:00.000-05:00,0
1318,clear-day,34.0,0.0065,"",2019-03-08T12:00:00.000-05:00,0
38,partly-cloudy-night,71.0,0.0,"",2019-08-03T05:00:00.000-04:00,0
1200,clear-day,36.0,0.0,"",2019-02-28T14:00:00.000-05:00,0
34,cloudy,44.0,5.0E-4,"",2019-01-05T19:00:00.000-05:00,0
1461,cloudy,56.0,0.0,"",2019-03-29T16:00:00.000-04:00,0
2110,partly-cloudy-day,79.0,0.0,"",2019-08-06T17:00:00.000-04:00,0
2,cloudy,60.0,0.0,"",2019-10-23T03:00:00.000-04:00,0
297,cloudy,52.0,0.0,"",2019-10-17T08:00:00.000-04:00,0
